Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Australian Capital Territory,Australia,2022-03-11 10:31:22,-35.4735,149.0124,58021,37,,,,13553.141789301564,,,0.06377001430516538,3601,AUS,,,17483,6
New South Wales,Australia,2022-03-11 10:31:22,-33.8688,151.2093,1435768,1971,,,,17686.228135008623,,,0.13727844609992698,3602,AUS,,,252572,312
Northern Territory,Australia,2022-03-11 10:31:22,-12.4634,130.8456,44513,31,,,,18124.185667752445,,,0.06964257632601711,3603,AUS,,,17746,26
Queensland,Australia,2022-03-11 10:31:22,-27.4698,153.0251,616937,623,,,,12060.150522920538,,,0.10098275836916898,3604,AUS,,,132751,269
South Australia,Australia,2022-03-11 10:31:22,-34.9285,138.6007,173096,220,,,,9854.597210361517,,,0.12709710218607015,3605,AUS,,,48814,71
Tasmania,Australia,2022-03-11 10:31:22,-42.8821,147.3272,55696,26,,,,10400.746965452849,,,0.04668198793450158,3606,AUS,,,21644,3
Victoria,Australia,2022-03-11 10:31:22,-37.8136,144.9631,1112363,2629,,,,16777.975535075944,,,0.23634371154020764,3607,AUS,,,150554,381
Western Australia,Australia,2022-03-11 10:31:22,-31.9505,115.8605,39226,12,,,,1491.1427050862922,,,0.03059195431601489,3608,AUS,,,32207,3
Antwerp,Belgium,2022-03-11 10:31:22,51.2195,4.4024,552742,0,,,,29562.6641279757,,,0.0,5601,BEL,,,47055,0
Brussels,Belgium,2022-03-11 10:31:22,50.8503,4.3517,416222,0,,,,34165.4251367735,,,0.0,5602,BEL,,,15545,0
East Flanders,Belgium,2022-03-11 10:31:22,51.0362,3.7373,467419,0,,,,30645.30193311938,,,0.0,5603,BEL,,,33061,0
Flemish Brabant,Belgium,2022-03-11 10:31:22,50.9167,4.5833,336705,0,,,,29130.686434057217,,,0.0,5604,BEL,,,25752,0
Hainaut,Belgium,2022-03-11 10:31:22,50.5257,4.0621,420499,0,,,,31221.15470286003,,,0.0,5605,BEL,,,18724,0
Liege,Belgium,2022-03-11 10:31:22,50.4496,5.8492,349294,0,,,,31473.598846639037,,,0.0,5606,BEL,,,13547,0
Limburg,Belgium,2022-03-11 10:31:22,50.9739,5.3420000000000005,260195,0,,,,29656.2453696844,,,0.0,5607,BEL,,,23168,0
Luxembourg,Belgium,2022-03-11 10:31:22,50.0547,5.4677,95347,0,,,,33250.68351746457,,,0.0,5608,BEL,,,5790,0
Namur,Belgium,2022-03-11 10:31:22,50.331,4.8221,163175,0,,,,32909.332193162205,,,0.0,5609,BEL,,,7822,0
Unknown,Belgium,2022-03-11 10:31:22,,,53485,30380,,,,,,,56.80097223520614,5610,BEL,,,3062,817
Walloon Brabant,Belgium,2022-03-11 10:31:22,50.4,4.35,136934,0,,,,33726.0078961822,,,0.0,5611,BEL,,,6331,0
West Flanders,Belgium,2022-03-11 10:31:22,51.0536,3.1458,377654,0,,,,31446.4026245998,,,0.0,5612,BEL,,,23975,0
Acre,Brazil,2022-03-11 10:31:22,-9.0238,-70.812,123157,1987,,,,13964.407807831643,,,1.613387789569411,7601,BRA,,,13740,73
